country,deid_country
".קונגו, רפ. דמוק","אפריקה"
"144 לא רשום","לא ידוע"
"180 לא רשום","לא ידוע"
"280 לא רשום","לא ידוע"
"290 לא רשום","לא ידוע"
"300 לא רשום","לא ידוע"
"690 לא רשום","לא ידוע"
"80 לא רשום","לא ידוע"
"852 לא רשום","לא ידוע"
"880 לא רשום","לא ידוע"
"NULL","לא ידוע"
"אבחזיסטאן","אירופה"
"אוגנדה","אפריקה"
"אוזבקיסטן","ברית המועצות"
"אוסטריה","אירופה"
"אוסטרליה","אוסטרליה ואוקיאניה"
"אוקראינה","ברית המועצות"
"אורוגוואי","אמריקה דרומית ומרכזית"
"אזוואד","אפריקה"
"אזור תעלת פנמה","אמריקה דרומית ומרכזית"
"אזרביג'אן","ברית המועצות"
"אזרבידג'אן","ברית המועצות"
"אזרבייג'ן","ברית המועצות"
"איחוד האמירויות הערב","אסיה"
"איחוד האמירויות הערביות","אסיה"
"איטליה","אירופה"
"איי בהאמה","אמריקה דרומית ומרכזית"
"איי גילברט ואליס","אוסטרליה ואוקיאניה"
"איי הבתולה","אמריקה דרומית ומרכזית"
"איי ווליס ופוטונה","אוסטרליה ואוקיאניה"
"איי טורקס וקייקוס","אמריקה דרומית ומרכזית"
"איי מרשל","אוסטרליה ואוקיאניה"
"איי נורפולק","אוסטרליה ואוקיאניה"
"איי סיישל","אפריקה"
"איי פאלקלנד","אמריקה דרומית ומרכזית"
"איי פארו","אירופה"
"איי פיגי","אוסטרליה ואוקיאניה"
"איי קומורו","אפריקה"
"איי קוק","אוסטרליה ואוקיאניה"
"איי קיימן","אמריקה דרומית ומרכזית"
"איי קייפ וורדה","אפריקה"
"איי שלמה","אוסטרליה ואוקיאניה"
"איי שלמה הבריטיים","אוסטרליה ואוקיאניה"
"אינדונזיה","אסיה"
"אינדונסיה פיליפינים","אסיה"
"איסלנד","אירופה"
"איראן","אסיה"
"אירופה לא ידוע","אירופה"
"אירלנד","אירופה"
"אל סלבדור","אמריקה דרומית ומרכזית"
"אל סלוודור","אמריקה דרומית ומרכזית"
"אלבניה","אירופה"
"אלג'יריה","אפריקה"
"אלגיריה","אפריקה"
"אמירויות המפרץ הפרסי","אסיה"
"אמריקה ואוקיניה לא ידוע","לא ידוע"
"אמריקה לא ידוע","אמריקה דרומית ומרכזית"
